text,vulgar,hate,religious,threat,troll,Insult
এবার পাগলামি বন্ধ করো আর কত।,0,0,0,0,0,1
তোর মুখে জুতা মারা দরকার। তারপর তোর কাছে ক্ষমা চাইলে সব শেষ!এতো সহজ সব?ক্যারিয়ারের ভয়ে এখন আসছে সরি মারাইতে।,0,0,0,1,0,1
এই নাস্তকরে ফাঁসি দেয়।,0,0,1,1,0,0
অনেক দিন পর এত্ত সুন্দর একটা নাটক দেখলাম যে কমেন্ট না করে পারলাম না,0,0,0,0,0,0
"কি সব বাল সাল, সোনিকা ধুর ক্ষ্যাত",1,0,0,0,0,1
আমেরিকার মেয়েদের বাল কাটা স্থান ও ইন্ডিয়ান মেয়েদের বাল বোঝাই পোদের তুলনা,1,0,0,0,0,1
নিজস্ব মতামতের স্বাধিনতা যেমন অবশ্যই আছে তেমনি দক্ষিন এশিয়ার রাজনিতী না বোঝার ব্যার্থতার দায়ভারও আপনাকেই নিতে হবে। আমি শতভাগ নিশ্চিত যারা ভারতের ব্যার্থতায় আনন্দ প্রকাশ কোরছে তারা কেহই পাকিস্হান প্রেমিক নয় বরং সবাই বাংলাদেশের প্রতি ভারতের ব্যাবহারের প্রতিবাদ জানাচ্ছে,0,1,0,0,0,0
অসাধারণ হইছেবেস্ট একটা নাটক উপহার দেয়ার জন্যআরিয়ান ভাইকে অনেক অনেক ধন্যবাদ,0,0,0,0,0,0
অনেক খুশি হলাম নিশো বসের নাটক পেয়ে,0,0,0,0,0,0
ভিডিও কোয়ালিটি খোব ভাল ছিল,0,0,0,0,0,0
"যে লোক, ১৫ বছর ঘুমায়ে কাটাইসে... আড়াই বছর জ্যামে এদিক ওদিক তাকায়ে কাটাইসে... একে মেচিউরড বলাটা কিছুটা বোকামি না?",0,0,0,0,0,0
"ভিডিও ছড়িয়ে পরার ৩ দিনের মাথায় সৌদি আরবের জেদ্দা থেকে কিছু বাংলাদেশী, ঝড়ের বেগে রুমে ঢুকে খাটের নিচের ট্রাঙ্ক থেকে দড়ি বের করে তুফানের বেগে দৌড়ে, ধরে বেঁধে ফেললেন রাস্তার সামনে পান খেতে থাকা আসামীকে",0,0,0,0,0,0
৯২% মুসলমানদের দেশ বাংলাদেশে আজ মুসলিমরাই আওয়ামীলীগ নাম কুকুর দ্বারা নির্যাতনের স্বীকার,0,1,0,0,0,1
১৬-১৯৭১,0,0,0,0,0,0
ওগুলো পাকিস্তান ও বাংলাদেশে পাঠিয়ে দিলেই তো পারে।।এই দুই দেশিরা ভারতীয় রুপি পেলে যেন হাতে চাঁদ পেয়েছে এরকম ভাবে এবং খুশিতে নাচে।।তাই এই বিলিয়ন রুপি বাংলাদেশ ও পাকিস্তানিদের ভাগ করে দেওয়া হোক।।,0,1,0,0,0,0
"আর যে শুনবে, তারও",0,0,0,0,0,0
"আমি বললাম, ‘কি ব্রাদার নতুন আসছেন লাগে... রাজাবাজার চিনেন না?’",0,0,0,0,0,0
ব্যাকগ্রাউন্ড সং টা খুব সুন্দর কবে আপলোড হবে অপেক্ষায় আছি,0,0,0,0,0,0
"কসাই সেলিমের দাবি, এবার আন্দোলন চালালে ব্যাংক - সর্বস্ব কাটা হবে",0,0,0,1,0,0
এক কথায় অসাধারণ মোকাদ্দেছ মোল্যা,0,0,0,0,0,0
সেরা অভিনেতা অবশ্যই চঞ্চল চৌধুরী,0,0,0,0,0,0
#NAME?,0,0,0,0,0,0
"আমার মেয়ে একটা ব্রাউন কালারের উডল্যান্ড জুতা আমার কাছে এনে ফিসফিস করে বলে, ‘এই নাও... এখন কি করব? কাকে হেন্ডওভার করবে করো’",0,0,0,0,0,0
নিশো ভাই প্রায় সবার প্রিয় একজন অভিনেতা এমনকি আমার ও ভাল লাগে ওনাকে বেশির ভাগ মানুষ ওনাকে ফলো করে কিন্তু ওনার একটা জিনিস আমার খুব অপছন্দ ওনি অভিভাবক এর সামনে উচ্চ সরে কথা বলে এটা দেখে আমরা কি শিখবো এটা প্রায় নাটকেই দেখা যায় তবে নাটকের শেষের দিকে যে নামাজ পড়ার তাগিদ দিয়েছে ওটা অনেক ভাল লেগেছে,0,0,0,0,0,0
চাঁদাবাজ আকবরের পদে এসআই জুয়াড়ি শাহিন পরে বদলি,0,0,0,0,0,1
পুরাটা দেখলামখুব ভাল লাগল দারুন,0,0,0,0,0,0
অসাধারণ দাদা বিন্দবন দাস,0,0,0,0,0,0
ভারত কে সবুজ মানচিত্র থেকে উড়িয়ে দিতে চেয়েছিলাম,0,0,0,1,0,0
আসলে কি বলব এই ঈদের বেশিরভাগ নাটক গুলো সুন্দর আমার অনেক ভাল লাগছে,0,0,0,0,0,0
সত্যিই অসাধারন নাটকটা বস বলে কথালাভ ইউ তানজিন তিশা,0,0,0,0,0,0
অসাধারন নাটক টা আমার খুব বেশিই ভালো লাগে,0,0,0,0,0,0
রিয়াজ ভাই সব জায়গাতেই পারফেক্ট,0,0,0,0,0,0
পাকিস্তান চায় ভারতের সাথে ভালো সম্পর্ক কিন্তু বাংলাদেশের লোক চায় ভারত কে শেষ করে দিক পাকিস্তান তাই বাংলাদেশের কিছু লোভীদের পাচায় বাশঁ দিয়ে পাকিস্তান ভালো সম্পর্কের আঁশায় ভারতের মুখের দিকে চেয়ে আছে,0,1,0,0,0,0
নাইস সুদাও ক্যা,1,0,0,0,0,1
“খেলতে গেসস পদক পাস না কেন ... পদক পাস না কেন” বলে গলা ফাটাই,0,0,0,0,0,0
আখম হাসান এর অভিনয় সেরাআমি ভারতীয় তাই এখানকার টিভি সিরিয়াল নির্মাণ কারিদের কাছে অনুরোধ যে বাংলাদেশের এই সব নাটক দেখুন কিছু শিখুন আর সিরিয়াল গুলি তে নিজেদের সুরুচির পরিচয় দিন,0,0,0,0,0,0
বাংলা নাটকের রেভুলেশনে অনেক ভাল ভাল নাটক হয়েছে ইদানীংকালে এবং এখনো হচ্ছে ফিউচারেও হবে কিন্তু কোথায় যেন একটা একঘেয়েমি চলে আসছিল যার কারনে ভাল নাটক তার পরেও আমার মত অধৈর্য মানুষ ইউটিউবে এক ঘন্টার নাটক টেনে টেনে ১০১৫ মিনিট এ শেষ করি অনেক দিন পর এমন একটা নাটক দেখলাম যেটা পুরো টাইমটা বসে মনোযোগ দিয়ে দেখে প্রত্যেকটা মুহূর্তে আলাদা ভাবে ভাল লেগেছে এক কথায় অসাধারণ নাটক,0,0,0,0,0,0
জাড়াইল্যা মাগির পোলা,1,0,0,0,0,1
"মাগি তো আয় রে, এটা খুল",1,0,0,0,0,0
